Наименование ;"План
проекта";План на отчет. месяц;План накопит. итогом;Факт* в отчет. месяце по заключен. ДДУ;Факт* накопительно по заключен. ДДУ;Откл. за месяц;Откл.  накопительно;% выполнения накопительно;% выполнения от общего объема;;Комментарии к отклонениям
Квартиры;79;2;19;0;17;-2;-2;89,50%;21,50%;;
1-ком. квартира;29;1;4;0;3;-1;-1;75,00%;10,30%;;
2-ком. квартира;32;0;11;0;11;0;0;100,00%;34,40%;;
3-ком. квартира;16;1;4;0;3;-1;-1;75,00%;18,80%;;
4-ком. и более квартира ;2;0;0;0;0;0;0;0,00%;0,00%;всего 2 квартиры , не выводили в продажу;
Парковки;52;1;7;0;6;-1;-1;85,70%;11,50%;;
Кладовые;35;1;5;0;4;-1;-1;80,00%;11,40%;;
Коммерческие помещения;4;0;3;0;3;0;0;100,00%;75,00%;на остатках одно помещение, поменяло площадь, ждем экспертизу;
ИТОГО;170;4;34;0;30;-4;-4;88,20%;17,60%;;
